Company,Domain,ESG Link
Keurig Dr Pepper, https://www.keurigdrpepper.com/, https://www.keurigdrpepper.com/en/our-company/corporate-responsibility
Universal Health Services, https://uhs.com/, https://uhs.com/about-universal-health-services/environmental-social-and-governance/
CSX, http://csx.com/, https://www.csx.com/ESG
Henry Schein, https://www.henryschein.com/, https://www.henryschein.com/us-en/corporate/esg-communications.aspx
Sonic Automotive, https://www.sonicautomotive.com/, https://ir.sonicautomotive.com/corporate-responsibility
eBay, https://www.ebay.com/, https://investors.ebayinc.com/esg-investors/default.aspx
Textron, https://www.textron.com/, https://www.textron.com/CorpResponsibility/corporate-responsibility-report
Jones Financial (Edward Jones), https://www.edwardjones.com/, https://www.edwardjones.com/us-en/why-edward-jones/about-us/corporate-citizenship/purpose-in-action
Community Health Systems, https://www.chs.net/, https://www.chs.net/company-overview/sustainability/
Mosaic, https://mosaicco.com/, https://mosaicco.com/Our-Responsibility
Thor Industries, https://www.thorindustries.com/, https://www.thorindustries.com/sustainability
Dick's Sporting Goods, https://www.dickssportinggoods.com/, https://investors.dicks.com/esg/default.aspx
Newmont, https://www.newmont.com/, https://www.newmont.com/sustainability/default.aspx
Devon Energy, https://www.devonenergy.com/, https://www.devonenergy.com/sustainability
Warner Bros. Discovery, https://wbd.com/, https://wbd.com/esg/
J.B. Hunt Transport Services, https://www.jbhunt.com/, https://www.jbhunt.com/our-company/corporate-responsibility
Alcoa, https://www.alcoa.com/, https://www.alcoa.com/sustainability/
Peter Kiewit Sons', https://www.kiewit.com/, https://www.kiewit.com/sustainability/
Aramark, https://www.aramark.com/, https://www.aramark.com/environmental-social-governance
Vistra, https://vistracorp.com/, https://vistracorp.com/corporate-governance/
State Street, https://www.statestreet.com/, https://www.statestreet.com/us/en/asset-manager/about/our-impact/esg-report
Unum Group, https://www.unum.com/, https://www.unumgroup.com/esg
Alleghany, https://www.alleghany.com/, No Link Found
Boston Scientific, https://www.bostonscientific.com/, https://investors.bostonscientific.com/environmental-social-governance
Westlake, https://www.westlake.com/, https://westlake.com/environmental-sustainability-and-governance
Entergy, https://www.entergy.com/, https://www.entergy.com/sustainability/
International Flavors & Fragrances, https://www.iff.com/, http://lmrnaturals.iff.com/en/our-purpose/sustainability
DaVita, https://www.davita.com/, https://www.davitacommunitycare.com/esg-reporting-hub
Mutual of Omaha Insurance, https://www.mutualofomaha.com/, https://www.mutualofomaha.com/about/environmental-social-governance
Assurant, https://www.assurant.com/, https://www.assurant.com/about-us/sustainability
Liberty Media, https://www.libertymedia.com/, https://www.libertymedia.com/esg
Hormel Foods, https://www.hormelfoods.com/, https://csr.hormelfoods.com/
Icahn Enterprises, https://www.ielp.com/, https://www.ielp.com/corporate-governance
Republic Services, https://www.republicservices.com/, https://www.republicservices.com/organizational-sustainability
Mohawk Industries, https://mohawkind.com/, https://mohawkind.com/corporate-sustainability/
Conagra Brands, https://www.conagrabrands.com/, https://www.conagrabrands.com/our-company/corporate-social-responsibility
Norfolk Southern, http://www.nscorp.com/, http://www.nscorp.com/content/nscorp/en/about-ns/sustainability.html
AES, https://www.aes.com/, https://www.aes.com/sustainability
AGCO, https://www.agcocorp.com/, https://www.agcocorp.com/commitment/sustainability.html
Caesars Entertainment, https://www.caesars.com/, https://www.caesars.com/corporate-social-responsibility
Equitable Holdings, https://equitable.com/, https://equitable.com/about-us/esg-at-equitable
Advance Auto Parts, advanceautoparts.com ~~ https://shop.advanceautoparts.com/, https://esg.advanceauto.us/Home/default.aspx
Biogen, https://www.biogen.com/, https://www.biogen.com/responsibility.html
Auto-Owners Insurance, http://auto-owners.com/, https://www.auto-owners.com/about/giving-back
Booking Holdings, https://www.bookingholdings.com/, https://www.bookingholdings.com/sustainability/
Amphenol, https://www.amphenol.com/, https://www.amphenol.com/sustainability
Quest Diagnostics, http://www.questdiagnostics.com/, https://www.questdiagnostics.com/our-company/corporate-responsibility/
FirstEnergy, https://www.firstenergycorp.com/, https://firstenergycorp.com/investor/corporate_governance/responsibility.html
DCP Midstream, https://www.dcpmidstream.com/, https://www.dcpmidstream.com/sustainability
Ally Financial, https://www.ally.com/, https://www.ally.com/about/social-impact/
Delek US Holdings, https://www.delekus.com/, https://www.delekus.com/social-commitment/
Williams, https://www.williams.com/, https://www.williams.com/sustainability/
